epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.227,2.09291,3.73423,1.26562,0.57218,0.13837,0.11337,0.06884,1.92087,2.433,1.12878,0.000174712,0.000174712,0.000174712
2,193.592,1.95635,2.39995,1.14104,0.58572,0.18887,0.1869,0.10553,1.84985,2.03233,1.09718,0.000343114,0.000343114,0.000343114
3,287.372,1.8773,2.09489,1.11139,0.63622,0.22673,0.22565,0.12378,1.79684,1.861,1.08595,0.000504573,0.000504573,0.000504573
4,380.894,1.79026,1.92469,1.09768,0.57211,0.23428,0.23697,0.12866,1.78675,1.76141,1.07965,0.000494756,0.000494756,0.000494756
5,472.228,1.7748,1.81457,1.0852,0.60634,0.24674,0.25919,0.14376,1.73112,1.61482,1.04785,0.000484341,0.000484341,0.000484341
6,564.61,1.7596,1.7106,1.0863,0.63017,0.30215,0.3043,0.16836,1.6798,1.51263,1.05006,0.000473926,0.000473926,0.000473926
7,654.563,1.70247,1.63909,1.06983,0.64234,0.30512,0.31576,0.17485,1.6877,1.49475,1.04548,0.000463511,0.000463511,0.000463511
8,744.816,1.6771,1.55978,1.06046,0.62029,0.31786,0.31454,0.18019,1.64776,1.44707,1.03191,0.000453096,0.000453096,0.000453096
9,835.511,1.63899,1.484,1.04263,0.69241,0.34017,0.35432,0.19874,1.63256,1.443,1.02484,0.000442682,0.000442682,0.000442682
10,927.47,1.60371,1.47383,1.04717,0.64114,0.33008,0.34858,0.18994,1.63519,1.3979,1.02545,0.000432267,0.000432267,0.000432267
11,1018.09,1.62831,1.40679,1.03739,0.68517,0.35103,0.36607,0.2066,1.62285,1.32999,1.01823,0.000421852,0.000421852,0.000421852
12,1109.47,1.58478,1.35805,1.02409,0.71801,0.35508,0.38278,0.21446,1.59983,1.3028,1.01476,0.000411437,0.000411437,0.000411437
13,1199.9,1.60266,1.3734,1.02874,0.67421,0.34621,0.36541,0.20415,1.64368,1.37882,1.02305,0.000401022,0.000401022,0.000401022
14,1290.35,1.57748,1.31957,1.01906,0.64911,0.35563,0.37728,0.20721,1.62024,1.3009,1.0114,0.000390608,0.000390608,0.000390608
15,1380.86,1.586,1.35916,1.01965,0.64771,0.36144,0.37291,0.21235,1.58534,1.26168,1.0053,0.000380193,0.000380193,0.000380193
16,1472.6,1.5555,1.28655,1.01464,0.70781,0.36169,0.3918,0.22001,1.60561,1.26772,1.01602,0.000369778,0.000369778,0.000369778
17,1564.12,1.56474,1.29035,1.02149,0.67777,0.37055,0.39136,0.22673,1.56482,1.22603,1.00196,0.000359363,0.000359363,0.000359363
18,1659.58,1.49269,1.20416,1.00652,0.67861,0.37912,0.39742,0.2302,1.53892,1.19467,0.995,0.000348948,0.000348948,0.000348948
19,1751.34,1.5244,1.23986,1.00441,0.70678,0.38179,0.40578,0.23355,1.55725,1.22293,1.00244,0.000338534,0.000338534,0.000338534
20,1842.81,1.53309,1.24744,1.00223,0.68074,0.39034,0.41434,0.2432,1.55274,1.18665,0.99843,0.000328119,0.000328119,0.000328119
21,1934.63,1.53927,1.23711,1.00304,0.73685,0.37934,0.40887,0.23841,1.53367,1.20496,0.99766,0.000317704,0.000317704,0.000317704
22,2026.23,1.51876,1.20262,0.99965,0.65895,0.3885,0.4084,0.23607,1.54881,1.17247,0.99599,0.000307289,0.000307289,0.000307289
23,2119.36,1.48924,1.18034,0.99454,0.67437,0.38066,0.41832,0.24582,1.52834,1.14965,0.99138,0.000296874,0.000296874,0.000296874
24,2210.15,1.51185,1.16733,0.9917,0.66991,0.39309,0.42214,0.24321,1.55062,1.15275,0.99599,0.00028646,0.00028646,0.00028646
25,2303.18,1.49298,1.1794,0.9981,0.69712,0.3913,0.42291,0.24937,1.50542,1.13454,0.9924,0.000276045,0.000276045,0.000276045
26,2395.58,1.48072,1.13561,0.98994,0.67703,0.39068,0.42008,0.24973,1.53706,1.13723,0.99012,0.00026563,0.00026563,0.00026563
27,2487.68,1.47742,1.12398,0.98707,0.69915,0.39499,0.4253,0.25039,1.524,1.1321,0.99263,0.000255215,0.000255215,0.000255215
28,2578.35,1.47826,1.12409,0.99008,0.6869,0.40455,0.42887,0.25059,1.54583,1.11097,0.99415,0.0002448,0.0002448,0.0002448
29,2670.78,1.47577,1.10819,0.98326,0.71254,0.40612,0.43174,0.25365,1.54466,1.11381,0.99294,0.000234386,0.000234386,0.000234386
30,2759.99,1.43667,1.09532,0.97965,0.7379,0.40477,0.44045,0.25866,1.51704,1.11543,0.98684,0.000223971,0.000223971,0.000223971
31,2850.95,1.42052,1.09792,0.97766,0.68908,0.41101,0.43464,0.25761,1.49966,1.09047,0.98103,0.000213556,0.000213556,0.000213556
32,2942.21,1.44097,1.07114,0.97405,0.6989,0.41128,0.44527,0.26171,1.51508,1.06939,0.98599,0.000203141,0.000203141,0.000203141
33,3032.19,1.41551,1.06078,0.97112,0.67836,0.41996,0.43641,0.25793,1.50671,1.09165,0.98483,0.000192726,0.000192726,0.000192726
34,3122.95,1.41741,1.06141,0.97117,0.70775,0.42111,0.44741,0.26525,1.49964,1.09086,0.98624,0.000182312,0.000182312,0.000182312
35,3214.67,1.40281,1.0432,0.96652,0.69442,0.42061,0.4432,0.26524,1.48031,1.06757,0.97786,0.000171897,0.000171897,0.000171897
